encoder,dataset,sample_id,ground_truth_order,predicted_order,correct
biencoder,aep_dataset,7,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,8,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,9,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,10,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,11,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,12,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,13,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_dataset,14,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,15,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,16,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,17,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,18,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,19,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,20,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,21,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,22,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,23,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,24,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,25,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,26,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_dataset,27,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,28,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_dataset,29,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_dataset,30,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_wf_v3,1,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,2,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,3,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,4,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,5,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,6,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,7,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,8,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,aep_causal_wf_v3,9,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,10,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,11,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_causal_wf_v3,12,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,13,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,14,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,15,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,16,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,17,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,18,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,19,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,20,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,aep_causal_wf_v3,21,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,22,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,23,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,24,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,aep_causal_wf_v3,25,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,26,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,aep_causal_wf_v3,27,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,28,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,aep_causal_wf_v3,29,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,aep_causal_wf_v3,30,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,ajo_doc_not_tier1,1,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,2,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,3,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,4,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,5,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,6,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,7,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,8,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,9,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,10,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,11,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,12,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,13,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,14,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,15,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,16,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,17,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,18,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,19,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,20,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,21,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,22,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,23,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,24,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_doc_not_tier1,25,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,26,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,27,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,28,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,29,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_doc_not_tier1,30,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_newstyle,1,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,2,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,3,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,4,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,5,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,6,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,ajo_newstyle,7,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,8,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,9,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,10,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,11,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,12,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,ajo_newstyle,13,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,14,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,15,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,16,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,17,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,ajo_newstyle,18,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,19,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,20,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,21,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,ajo_newstyle,22,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,23,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,24,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,25,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,26,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,27,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,ajo_newstyle,28,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,ajo_newstyle,29,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,ajo_newstyle,30,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,new_aep_wf_scrap,1,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,2,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,3,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,new_aep_wf_scrap,4,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,5,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,6,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,7,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,8,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,9,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,10,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,11,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,12,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,13,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_aep_wf_scrap,14,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,15,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,16,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,17,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,18,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,19,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,20,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,21,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,22,t1 > t2 > t3,t3 > t2 > t1,False
biencoder,new_aep_wf_scrap,23,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,24,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,25,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,26,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,27,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_aep_wf_scrap,28,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,29,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_aep_wf_scrap,30,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_ajo_workflows,1,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,2,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,3,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,new_ajo_workflows,4,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,5,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,new_ajo_workflows,6,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,7,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,8,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,9,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,10,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,11,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,12,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,13,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,14,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,15,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,16,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,17,t1 > t2 > t3,t2 > t3 > t1,False
biencoder,new_ajo_workflows,18,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,19,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,20,t1 > t2 > t3,t3 > t1 > t2,False
biencoder,new_ajo_workflows,21,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,22,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,23,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,24,t1 > t2 > t3,t1 > t2 > t3,True
biencoder,new_ajo_workflows,25,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,26,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,27,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,28,t1 > t2 > t3,t2 > t1 > t3,False
biencoder,new_ajo_workflows,29,t1 > t2 > t3,t1 > t3 > t2,False
biencoder,new_ajo_workflows,30,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_causal_cls34,1,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_cls34,2,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_cls34,3,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,4,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_cls34,5,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_cls34,6,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_cls34,7,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,8,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,9,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,10,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,11,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_cls34,12,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,13,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_cls34,14,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_cls34,15,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_cls34,16,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,17,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,18,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,19,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,20,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_cls34,21,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,22,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,23,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,24,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,25,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_cls34,26,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_cls34,27,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_cls34,28,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_cls34,29,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_cls34,30,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,1,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_dataset,2,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,3,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_dataset,4,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,5,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,6,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_dataset,7,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,8,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,9,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,10,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,11,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,12,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,13,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,14,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_dataset,15,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_dataset,16,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_dataset,17,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_dataset,18,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,19,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,20,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,21,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_dataset,22,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_dataset,23,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_dataset,24,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_dataset,25,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,26,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_dataset,27,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_dataset,28,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_dataset,29,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,aep_dataset,30,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_wf_v3,1,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,2,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_wf_v3,3,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,4,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_wf_v3,5,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,6,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_wf_v3,7,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,8,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_wf_v3,9,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,10,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,11,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_wf_v3,12,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_wf_v3,13,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,14,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,15,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_wf_v3,16,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,17,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_wf_v3,18,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,19,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,aep_causal_wf_v3,20,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_wf_v3,21,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,aep_causal_wf_v3,22,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,23,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,24,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_wf_v3,25,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,26,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,aep_causal_wf_v3,27,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,28,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,aep_causal_wf_v3,29,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,aep_causal_wf_v3,30,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,ajo_doc_not_tier1,1,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,ajo_doc_not_tier1,2,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,3,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,4,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,5,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,6,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,7,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,8,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,9,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,ajo_doc_not_tier1,10,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,11,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,12,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,ajo_doc_not_tier1,13,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,ajo_doc_not_tier1,14,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,15,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,16,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,17,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,18,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,19,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,20,t1 > t2 > t3,t1 > t3 > t2,False
crossencoder,ajo_doc_not_tier1,21,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,22,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,23,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,24,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,25,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_doc_not_tier1,26,t1 > t2 > t3,t3 > t1 > t2,False
crossencoder,ajo_doc_not_tier1,27,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,28,t1 > t2 > t3,t2 > t1 > t3,False
crossencoder,ajo_doc_not_tier1,29,t1 > t2 > t3,t2 > t3 > t1,False
crossencoder,ajo_doc_not_tier1,30,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_newstyle,1,t1 > t2 > t3,t3 > t2 > t1,False
crossencoder,ajo_newstyle,2,t1 > t2 > t3,t1 > t2 > t3,True
crossencoder,ajo_newstyle,3,t1 > t2 > t3,t1 > t2 > t3,True
