encoder,dataset,model,event,tournament_wins,net_precedence,predicted_rank,true_rank
biencoder,aep_dataset,all-mpnet-base-v2,t2,5,4.0457,1,2
biencoder,aep_dataset,all-mpnet-base-v2,t3,3,1.881,3,3
biencoder,aep_dataset,all-mpnet-base-v2,t4,1,-3.0239,5,4
biencoder,aep_dataset,all-mpnet-base-v2,t5,2,-0.95,4,5
biencoder,aep_dataset,all-mpnet-base-v2,t6,0,-4.7644,6,6
biencoder,aep_dataset,all-MiniLM-L6-v2,t1,1,-2.2506,5,1
biencoder,aep_dataset,all-MiniLM-L6-v2,t2,5,2.9713,1,2
biencoder,aep_dataset,all-MiniLM-L6-v2,t3,4,3.1111,2,3
biencoder,aep_dataset,all-MiniLM-L6-v2,t4,2,-1.547,4,4
biencoder,aep_dataset,all-MiniLM-L6-v2,t5,3,2.7111,3,5
biencoder,aep_dataset,all-MiniLM-L6-v2,t6,0,-4.9958,6,6
biencoder,aep_dataset,e5-large-v2,t1,5,0.9529,1,1
biencoder,aep_dataset,e5-large-v2,t2,4,0.0,2,2
biencoder,aep_dataset,e5-large-v2,t3,3,0.0,3,3
biencoder,aep_dataset,e5-large-v2,t4,2,-0.949,4,4
biencoder,aep_dataset,e5-large-v2,t5,1,0.0,5,5
biencoder,aep_dataset,e5-large-v2,t6,0,-0.0039,6,6
biencoder,aep_dataset,bge-base-en-v1.5,t1,1,-3.6052,5,1
biencoder,aep_dataset,bge-base-en-v1.5,t2,4,2.9913,2,2
biencoder,aep_dataset,bge-base-en-v1.5,t3,3,0.2933,3,3
biencoder,aep_dataset,bge-base-en-v1.5,t4,2,-0.285,4,4
biencoder,aep_dataset,bge-base-en-v1.5,t5,5,4.9998,1,5
biencoder,aep_dataset,bge-base-en-v1.5,t6,0,-4.3942,6,6
biencoder,aep_dataset,bge-large-en-v1.5,t1,5,1.6784,1,1
biencoder,aep_dataset,bge-large-en-v1.5,t2,3,0.9779,3,2
biencoder,aep_dataset,bge-large-en-v1.5,t3,2,0.9511,4,3
biencoder,aep_dataset,bge-large-en-v1.5,t4,1,-2.6499,5,4
biencoder,aep_dataset,bge-large-en-v1.5,t5,4,2.9999,2,5
biencoder,aep_dataset,bge-large-en-v1.5,t6,0,-3.9575,6,6
biencoder,aep_causal_wf_v3,deberta-v3-large,t1,2,-2.5112,4,1
biencoder,aep_causal_wf_v3,deberta-v3-large,t2,0,-2.895,6,2
biencoder,aep_causal_wf_v3,deberta-v3-large,t3,4,2.5733,2,3
biencoder,aep_causal_wf_v3,deberta-v3-large,t4,5,4.4239,1,4
biencoder,aep_causal_wf_v3,deberta-v3-large,t5,1,-2.479,5,5
biencoder,aep_causal_wf_v3,deberta-v3-large,t6,3,0.888,3,6
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t1,1,-1.623,4,1
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t2,1,-1.7999,5,2
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t3,4,1.4248,2,3
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t4,5,4.3754,1,4
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t5,1,-2.4149,6,5
biencoder,aep_causal_wf_v3,all-mpnet-base-v2,t6,3,0.0376,3,6
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t1,0,-1.3428,6,1
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t2,1,-1.2656,5,2
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t3,2,-0.8652,4,3
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t4,5,2.6641,1,4
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t5,3,-0.5908,3,5
biencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t6,4,1.4004,2,6
biencoder,aep_causal_wf_v3,e5-large-v2,t1,4,1.5117,2,1
biencoder,aep_causal_wf_v3,e5-large-v2,t2,1,-1.3804,5,2
biencoder,aep_causal_wf_v3,e5-large-v2,t3,3,0.3301,3,3
biencoder,aep_causal_wf_v3,e5-large-v2,t4,5,2.3359,1,4
biencoder,aep_causal_wf_v3,e5-large-v2,t5,0,-2.4185,6,5
biencoder,aep_causal_wf_v3,e5-large-v2,t6,2,-0.3789,4,6
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t1,0,-3.0829,6,1
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t2,1,-3.3375,5,2
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t3,5,2.8159,1,3
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t4,4,1.7959,2,4
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t5,2,0.0345,4,5
biencoder,aep_causal_wf_v3,bge-base-en-v1.5,t6,3,1.7741,3,6
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t1,3,0.1748,3,1
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t2,2,-1.0713,4,2
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t3,5,1.6053,1,3
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t4,4,1.3528,2,4
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t5,0,-1.2739,6,5
biencoder,aep_causal_wf_v3,bge-large-en-v1.5,t6,1,-0.7877,5,6
biencoder,ajo_doc_not_tier1,deberta-v3-large,t1,5,0.0,1,1
biencoder,ajo_doc_not_tier1,deberta-v3-large,t2,4,0.0,2,2
biencoder,ajo_doc_not_tier1,deberta-v3-large,t3,3,0.0,3,3
biencoder,ajo_doc_not_tier1,deberta-v3-large,t4,2,0.0,4,4
biencoder,ajo_doc_not_tier1,deberta-v3-large,t5,1,0.0,5,5
biencoder,ajo_doc_not_tier1,deberta-v3-large,t6,0,0.0,6,6
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t1,4,1.1776,2,1
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t2,1,-2.001,5,2
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t3,3,0.5788,3,3
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t4,2,0.9867,4,4
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t5,5,3.6935,1,5
biencoder,ajo_doc_not_tier1,all-mpnet-base-v2,t6,0,-4.4356,6,6
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t1,3,0.0122,3,1
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t2,1,-2.8628,6,2
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t3,4,1.0604,2,3
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t4,1,-1.1921,5,4
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t5,4,3.0095,1,5
biencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,t6,2,-0.0272,4,6
biencoder,ajo_doc_not_tier1,e5-large-v2,t1,3,0.0734,2,1
biencoder,ajo_doc_not_tier1,e5-large-v2,t2,2,-1.4978,6,2
biencoder,ajo_doc_not_tier1,e5-large-v2,t3,2,0.0791,5,3
biencoder,ajo_doc_not_tier1,e5-large-v2,t4,3,-1.8745,3,4
biencoder,ajo_doc_not_tier1,e5-large-v2,t5,2,1.0072,4,5
biencoder,ajo_doc_not_tier1,e5-large-v2,t6,3,2.2126,1,6
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t1,2,-1.1722,4,1
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t2,3,0.1734,3,2
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t3,5,4.4976,1,3
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t4,0,-4.0758,6,4
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t5,4,3.3885,2,5
biencoder,ajo_doc_not_tier1,bge-base-en-v1.5,t6,1,-2.8115,5,6
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t1,1,-3.8174,6,1
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t2,2,0.1748,4,2
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t3,4,3.0856,1,3
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t4,4,1.0042,2,4
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t5,3,1.6416,3,5
biencoder,ajo_doc_not_tier1,bge-large-en-v1.5,t6,1,-2.0889,5,6
biencoder,ajo_newstyle,deberta-v3-large,t1,5,0.0,1,1
biencoder,ajo_newstyle,deberta-v3-large,t2,4,0.0,2,2
biencoder,ajo_newstyle,deberta-v3-large,t3,3,-0.0,3,3
biencoder,ajo_newstyle,deberta-v3-large,t4,2,-0.0,4,4
biencoder,ajo_newstyle,deberta-v3-large,t5,1,-0.0,5,5
biencoder,ajo_newstyle,deberta-v3-large,t6,0,-0.0,6,6
biencoder,ajo_newstyle,all-mpnet-base-v2,t1,2,0.2393,4,1
biencoder,ajo_newstyle,all-mpnet-base-v2,t2,0,-2.3897,6,2
biencoder,ajo_newstyle,all-mpnet-base-v2,t3,3,0.085,3,3
biencoder,ajo_newstyle,all-mpnet-base-v2,t4,1,-0.6138,5,4
biencoder,ajo_newstyle,all-mpnet-base-v2,t5,5,0.4238,1,5
biencoder,ajo_newstyle,all-mpnet-base-v2,t6,4,2.2554,2,6
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t1,4,0.4141,2,1
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t2,1,-0.7793,5,2
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t3,3,0.1836,3,3
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t4,2,-0.041,4,4
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t5,0,-0.3437,6,5
biencoder,ajo_newstyle,all-MiniLM-L6-v2,t6,5,0.5664,1,6
biencoder,ajo_newstyle,e5-large-v2,t1,4,0.0137,2,1
biencoder,ajo_newstyle,e5-large-v2,t2,3,0.0137,3,2
biencoder,ajo_newstyle,e5-large-v2,t3,5,0.1191,1,3
biencoder,ajo_newstyle,e5-large-v2,t4,2,-0.0332,4,4
biencoder,ajo_newstyle,e5-large-v2,t5,1,-0.0566,5,5
biencoder,ajo_newstyle,e5-large-v2,t6,0,-0.0566,6,6
biencoder,ajo_newstyle,bge-base-en-v1.5,t1,2,-0.9932,5,1
biencoder,ajo_newstyle,bge-base-en-v1.5,t2,0,-1.5518,6,2
biencoder,ajo_newstyle,bge-base-en-v1.5,t3,3,0.5781,3,3
biencoder,ajo_newstyle,bge-base-en-v1.5,t4,2,-0.834,4,4
biencoder,ajo_newstyle,bge-base-en-v1.5,t5,4,0.3848,2,5
biencoder,ajo_newstyle,bge-base-en-v1.5,t6,4,2.416,1,6
biencoder,ajo_newstyle,bge-large-en-v1.5,t1,0,-0.2461,6,1
biencoder,ajo_newstyle,bge-large-en-v1.5,t2,3,-0.0352,3,2
biencoder,ajo_newstyle,bge-large-en-v1.5,t3,5,0.3926,1,3
biencoder,ajo_newstyle,bge-large-en-v1.5,t4,1,-0.2637,5,4
biencoder,ajo_newstyle,bge-large-en-v1.5,t5,3,0.2383,2,5
biencoder,ajo_newstyle,bge-large-en-v1.5,t6,3,-0.0859,4,6
biencoder,new_aep_wf_scrap,deberta-v3-large,t1,3,0.0029,3,1
biencoder,new_aep_wf_scrap,deberta-v3-large,t2,2,-0.0001,4,2
biencoder,new_aep_wf_scrap,deberta-v3-large,t3,0,-0.0078,6,3
biencoder,new_aep_wf_scrap,deberta-v3-large,t4,1,-0.0036,5,4
biencoder,new_aep_wf_scrap,deberta-v3-large,t5,4,0.0038,2,5
biencoder,new_aep_wf_scrap,deberta-v3-large,t6,5,0.0048,1,6
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t1,5,3.6064,1,1
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t2,0,-2.4023,6,2
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t3,1,-1.6211,5,3
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t4,3,-0.5234,3,4
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t5,2,-0.3457,4,5
biencoder,new_aep_wf_scrap,all-mpnet-base-v2,t6,4,1.2861,2,6
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t1,4,0.207,2,1
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t2,1,-0.0469,5,2
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t3,3,0.0488,3,3
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t4,2,0.123,4,4
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t5,0,-0.6074,6,5
biencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,t6,5,0.2754,1,6
biencoder,new_aep_wf_scrap,e5-large-v2,t1,4,0.6719,2,1
biencoder,new_aep_wf_scrap,e5-large-v2,t2,0,-1.2969,6,2
biencoder,new_aep_wf_scrap,e5-large-v2,t3,5,1.3516,1,3
biencoder,new_aep_wf_scrap,e5-large-v2,t4,3,-0.125,3,4
biencoder,new_aep_wf_scrap,e5-large-v2,t5,1,-0.4063,5,5
biencoder,new_aep_wf_scrap,e5-large-v2,t6,2,-0.1953,4,6
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t1,5,1.5293,1,1
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t2,3,0.2305,3,2
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t3,4,0.6533,2,3
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t4,0,-1.127,6,4
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t5,1,-0.6543,5,5
biencoder,new_aep_wf_scrap,bge-base-en-v1.5,t6,2,-0.6318,4,6
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t1,5,4.2154,1,1
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t2,1,-2.3397,5,2
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t3,4,1.683,2,3
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t4,2,-0.2363,4,4
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t5,0,-4.486,6,5
biencoder,new_aep_wf_scrap,bge-large-en-v1.5,t6,3,1.1636,3,6
biencoder,new_ajo_workflows,deberta-v3-large,t1,5,0.0009,1,1
biencoder,new_ajo_workflows,deberta-v3-large,t2,4,0.0009,2,2
biencoder,new_ajo_workflows,deberta-v3-large,t3,0,-0.0012,6,3
biencoder,new_ajo_workflows,deberta-v3-large,t4,2,-0.0002,4,4
biencoder,new_ajo_workflows,deberta-v3-large,t5,1,-0.0006,5,5
biencoder,new_ajo_workflows,deberta-v3-large,t6,3,0.0003,3,6
biencoder,new_ajo_workflows,all-mpnet-base-v2,t1,3,1.3047,3,1
biencoder,new_ajo_workflows,all-mpnet-base-v2,t2,2,1.1646,4,2
biencoder,new_ajo_workflows,all-mpnet-base-v2,t3,5,2.7165,1,3
biencoder,new_ajo_workflows,all-mpnet-base-v2,t4,0,-3.6916,6,4
biencoder,new_ajo_workflows,all-mpnet-base-v2,t5,1,-2.9704,5,5
biencoder,new_ajo_workflows,all-mpnet-base-v2,t6,4,1.4762,2,6
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t1,3,-0.8179,3,1
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t2,5,3.1599,1,2
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t3,4,1.9473,2,3
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t4,1,-1.2773,5,4
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t5,0,-1.5537,6,5
biencoder,new_ajo_workflows,all-MiniLM-L6-v2,t6,2,-1.4583,4,6
biencoder,new_ajo_workflows,e5-large-v2,t1,3,0.0371,3,1
biencoder,new_ajo_workflows,e5-large-v2,t2,4,0.084,2,2
biencoder,new_ajo_workflows,e5-large-v2,t3,5,0.1543,1,3
biencoder,new_ajo_workflows,e5-large-v2,t4,0,-0.1152,6,4
biencoder,new_ajo_workflows,e5-large-v2,t5,2,-0.0566,4,5
biencoder,new_ajo_workflows,e5-large-v2,t6,1,-0.1035,5,6
biencoder,new_ajo_workflows,bge-base-en-v1.5,t1,5,3.3907,1,1
biencoder,new_ajo_workflows,bge-base-en-v1.5,t2,2,-0.829,4,2
biencoder,new_ajo_workflows,bge-base-en-v1.5,t3,4,3.1431,2,3
biencoder,new_ajo_workflows,bge-base-en-v1.5,t4,0,-4.7019,6,4
biencoder,new_ajo_workflows,bge-base-en-v1.5,t5,1,-0.968,5,5
biencoder,new_ajo_workflows,bge-base-en-v1.5,t6,3,-0.0349,3,6
biencoder,new_ajo_workflows,bge-large-en-v1.5,t1,3,-0.5132,3,1
biencoder,new_ajo_workflows,bge-large-en-v1.5,t2,5,3.7908,1,2
biencoder,new_ajo_workflows,bge-large-en-v1.5,t3,4,3.333,2,3
biencoder,new_ajo_workflows,bge-large-en-v1.5,t4,2,-1.447,4,4
biencoder,new_ajo_workflows,bge-large-en-v1.5,t5,0,-3.2852,6,5
biencoder,new_ajo_workflows,bge-large-en-v1.5,t6,1,-1.8784,5,6
crossencoder,aep_causal_cls34,deberta-v3-large,t1,0,-4.0357,6,1
crossencoder,aep_causal_cls34,deberta-v3-large,t2,2,-1.065,4,2
crossencoder,aep_causal_cls34,deberta-v3-large,t3,4,3.3822,2,3
crossencoder,aep_causal_cls34,deberta-v3-large,t4,3,1.6878,3,4
crossencoder,aep_causal_cls34,deberta-v3-large,t5,1,-3.8966,5,5
crossencoder,aep_causal_cls34,deberta-v3-large,t6,5,3.9272,1,6
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t1,1,-2.9997,5,1
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t2,2,-0.9998,4,2
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t3,4,2.9076,2,3
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t4,5,4.9992,1,4
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t5,0,-4.9998,6,5
crossencoder,aep_causal_cls34,all-mpnet-base-v2,t6,3,1.0925,3,6
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t1,1,-3.8755,5,1
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t2,2,0.164,4,2
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t3,5,1.6055,1,3
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t4,4,3.3098,2,4
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t5,0,-3.1348,6,5
crossencoder,aep_causal_cls34,all-MiniLM-L6-v2,t6,3,1.9309,3,6
crossencoder,aep_causal_cls34,e5-large-v2,t1,5,0.0,1,1
crossencoder,aep_causal_cls34,e5-large-v2,t2,4,0.0,2,2
crossencoder,aep_causal_cls34,e5-large-v2,t3,3,0.0,3,3
crossencoder,aep_causal_cls34,e5-large-v2,t4,2,0.0,4,4
crossencoder,aep_causal_cls34,e5-large-v2,t5,1,0.0,5,5
crossencoder,aep_causal_cls34,e5-large-v2,t6,0,0.0,6,6
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t1,0,-3.8582,6,1
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t2,2,-1.3612,4,2
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t3,3,1.3498,3,3
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t4,4,2.9419,2,4
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t5,1,-3.662,5,5
crossencoder,aep_causal_cls34,bge-base-en-v1.5,t6,5,4.5896,1,6
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t1,4,2.9966,2,1
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t2,2,-2.3825,5,2
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t3,2,-0.9987,4,3
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t4,5,4.9998,1,4
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t5,0,-4.6168,6,5
crossencoder,aep_causal_cls34,bge-large-en-v1.5,t6,2,0.0015,3,6
crossencoder,aep_dataset,deberta-v3-large,t1,1,-0.8831,5,1
crossencoder,aep_dataset,deberta-v3-large,t2,4,1.0227,2,2
crossencoder,aep_dataset,deberta-v3-large,t3,3,0.9479,4,3
crossencoder,aep_dataset,deberta-v3-large,t4,0,-4.9086,6,4
crossencoder,aep_dataset,deberta-v3-large,t5,4,1.9726,1,5
crossencoder,aep_dataset,deberta-v3-large,t6,3,1.8485,3,6
crossencoder,aep_dataset,all-mpnet-base-v2,t1,5,4.3691,1,1
crossencoder,aep_dataset,all-mpnet-base-v2,t2,4,2.6287,2,2
crossencoder,aep_dataset,all-mpnet-base-v2,t3,1,-2.5546,5,3
crossencoder,aep_dataset,all-mpnet-base-v2,t4,0,-3.2129,6,4
crossencoder,aep_dataset,all-mpnet-base-v2,t5,2,-1.7356,4,5
crossencoder,aep_dataset,all-mpnet-base-v2,t6,3,0.5053,3,6
crossencoder,aep_dataset,all-MiniLM-L6-v2,t1,2,-0.5281,4,1
crossencoder,aep_dataset,all-MiniLM-L6-v2,t2,5,2.4512,1,2
crossencoder,aep_dataset,all-MiniLM-L6-v2,t3,3,0.6758,3,3
crossencoder,aep_dataset,all-MiniLM-L6-v2,t4,0,-3.4272,6,4
crossencoder,aep_dataset,all-MiniLM-L6-v2,t5,4,0.7949,2,5
crossencoder,aep_dataset,all-MiniLM-L6-v2,t6,1,0.0334,5,6
crossencoder,aep_dataset,e5-large-v2,t1,5,0.0,1,1
crossencoder,aep_dataset,e5-large-v2,t2,4,0.0,2,2
crossencoder,aep_dataset,e5-large-v2,t3,3,0.0,3,3
crossencoder,aep_dataset,e5-large-v2,t4,2,0.0,4,4
crossencoder,aep_dataset,e5-large-v2,t5,1,0.0,5,5
crossencoder,aep_dataset,e5-large-v2,t6,0,0.0,6,6
crossencoder,aep_dataset,bge-base-en-v1.5,t1,3,0.8252,2,1
crossencoder,aep_dataset,bge-base-en-v1.5,t2,5,3.0822,1,2
crossencoder,aep_dataset,bge-base-en-v1.5,t3,3,0.013,4,3
crossencoder,aep_dataset,bge-base-en-v1.5,t4,0,-2.2487,6,4
crossencoder,aep_dataset,bge-base-en-v1.5,t5,3,0.176,3,5
crossencoder,aep_dataset,bge-base-en-v1.5,t6,1,-1.8477,5,6
crossencoder,aep_dataset,bge-large-en-v1.5,t1,5,1.0169,1,1
crossencoder,aep_dataset,bge-large-en-v1.5,t2,4,0.9285,2,2
crossencoder,aep_dataset,bge-large-en-v1.5,t3,3,0.9958,3,3
crossencoder,aep_dataset,bge-large-en-v1.5,t4,0,-3.8425,6,4
crossencoder,aep_dataset,bge-large-en-v1.5,t5,2,0.8921,4,5
crossencoder,aep_dataset,bge-large-en-v1.5,t6,1,0.0092,5,6
crossencoder,aep_causal_wf_v3,deberta-v3-large,t1,4,2.99,2,1
crossencoder,aep_causal_wf_v3,deberta-v3-large,t2,1,-3.8892,5,2
crossencoder,aep_causal_wf_v3,deberta-v3-large,t3,5,3.0726,1,3
crossencoder,aep_causal_wf_v3,deberta-v3-large,t4,2,-0.8889,4,4
crossencoder,aep_causal_wf_v3,deberta-v3-large,t5,0,-4.0446,6,5
crossencoder,aep_causal_wf_v3,deberta-v3-large,t6,3,2.7602,3,6
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t1,2,-0.8418,3,1
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t2,0,-1.8613,6,2
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t3,5,2.7441,1,3
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t4,4,2.395,2,4
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t5,2,-1.3457,5,5
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,t6,2,-1.0903,4,6
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t1,4,0.2246,2,1
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t2,0,-0.4004,6,2
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t3,3,0.166,3,3
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t4,5,0.4512,1,4
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,t5,2,-0.0391,4,5
